Stufe;Pos.;PTp;Komponentennummer;Objektkurztext;Menge;ME;AltPos.;Grp;BGr;gültig von;BisDatum;Gleitender Preis;pro;Standardpreis
3;300;L;1.48789.01.0;CARBONBAND;0,001;ST;;;0;05.11.1998;31.12.9999;;0;
3;;;3.09817.00.0;HALTER;0;;;;0;;;;0;
4;1;T;TI=08;;1;ST;;;0;04.07.2000;31.12.9999;;1;
4;200;Z;8.12000.00.0;UMWELTSCHUTZ;1;ST;;;0;19.11.1993;31.12.9999;;1;
3;;;3.09627.01.0;BUCHSE;0;;;;0;;;;0;
4;1;T;TI=00;;1;ST;;;0;24.03.1998;31.12.9999;;1;
3;;;5.35033.01.0;STAENDERPAKET,BESCHICHTET;0;;;;0;;;;0;
4;200;D;D-818171000 PZD 000 03;TL STAENDERPAKET;1;ST;;;0;03.02.2020;21.02.2021;;0;
4;300;L;5.35032.00.0;STAENDERPAKET;1;ST;;;1;20.07.2001;31.12.9999;;1;
3;;;5.35704.00.0;AUFNAHME,KOMPLETT;0;;;;0;;;;0;
4;1;T;TI=00;;1;ST;;;0;19.11.1993;31.12.9999;;1;
4;300;L;3.09025.00.0;KONTAKT;4;ST;;;1;19.11.1993;31.12.9999;;1;
4;305;L;3.09816.00.0;AUFNAHME;1;ST;;;1;19.11.1993;31.12.9999;;1;
3;;;3.09817.00.0;HALTER;0;;;;0;;;;0;
4;1;T;TI=08;;1;ST;;;0;04.07.2000;31.12.9999;;1;
4;200;Z;8.12000.00.0;UMWELTSCHUTZ;1;ST;;;0;19.11.1993;31.12.9999;;1;
3;;;3.09627.01.0;BUCHSE;0;;;;0;;;;0;
4;1;T;TI=00;;1;ST;;;0;24.03.1998;31.12.9999;;1;
3;;;5.35033.01.0;STAENDERPAKET,BESCHICHTET;0;;;;0;;;;0;
4;200;D;D-818171000 PZD 000 03;TL STAENDERPAKET;1;ST;;;0;03.02.2020;21.02.2021;;0;
4;300;L;5.35032.00.0;STAENDERPAKET;1;ST;;;1;20.07.2001;31.12.9999;;1;
3;;;5.35704.00.0;AUFNAHME,KOMPLETT;0;;;;0;;;;0;
4;1;T;TI=00;;1;ST;;;0;19.11.1993;31.12.9999;;1;
4;300;L;3.09025.00.0;KONTAKT;4;ST;;;1;19.11.1993;31.12.9999;;1;
4;305;L;3.09816.00.0;AUFNAHME;1;ST;;;1;19.11.1993;31.12.9999;;1;
3;;;3.09219.00.0;ACHSE;0;;;;0;;;;0;
4;1;T;TI=03;;1;ST;;;0;18.06.1998;31.12.9999;;1;
4;300;L;3.09219.00.1;ACHSE;1;ST;;;1;10.11.2009;31.12.9999;;0;
4;;;5.35032.00.0;STAENDERPAKET;0;;;;0;;;;0;
5;1;T;TI=00;;1;ST;;;0;13.05.1997;31.12.9999;;1;
5;200;D;D-818170000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
5;300;L;3.09012.00.0;STAENDERBLECH;38;ST;;;1;20.07.2001;31.12.9999;;1;
4;;;3.09025.00.0;KONTAKT;0;;;;0;;;;0;
5;1;T;TI=05;;1;ST;;;0;25.08.1998;31.12.9999;;1;
5;200;Z;8.12000.00.0;UMWELTSCHUTZ;1;ST;;;0;05.09.1995;31.12.9999;;1;
4;;;3.09816.00.0;AUFNAHME;0;;;;0;;;;0;
5;1;T;TI=08;;1;ST;;;0;25.08.1998;31.12.9999;;1;
5;200;Z;8.12000.00.0;UMWELTSCHUTZ;1;ST;;;0;19.11.1993;31.12.9999;;1;
4;;;5.35032.00.0;STAENDERPAKET;0;;;;0;;;;0;
5;1;T;TI=00;;1;ST;;;0;13.05.1997;31.12.9999;;1;
5;200;D;D-818170000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
5;300;L;3.09012.00.0;STAENDERBLECH;38;ST;;;1;20.07.2001;31.12.9999;;1;
4;;;3.09025.00.0;KONTAKT;0;;;;0;;;;0;
5;1;T;TI=05;;1;ST;;;0;25.08.1998;31.12.9999;;1;
5;200;Z;8.12000.00.0;UMWELTSCHUTZ;1;ST;;;0;05.09.1995;31.12.9999;;1;
4;;;3.09816.00.0;AUFNAHME;0;;;;0;;;;0;
5;1;T;TI=08;;1;ST;;;0;25.08.1998;31.12.9999;;1;
5;200;Z;8.12000.00.0;UMWELTSCHUTZ;1;ST;;;0;19.11.1993;31.12.9999;;1;
4;;;3.09219.00.1;ACHSE;0;;;;0;;;;0;
5;300;L;3.09219.06.0;ACHSE,GEHAERTET;1;ST;;;1;18.11.2009;31.12.9999;;0;
5;;;3.09012.00.0;STAENDERBLECH;0;;;;0;;;;0;
6;1;T;TI=02;;1;ST;;;0;09.03.1995;31.12.9999;;1;
5;;;3.09012.00.0;STAENDERBLECH;0;;;;0;;;;0;
6;1;T;TI=02;;1;ST;;;0;09.03.1995;31.12.9999;;1;
5;;;3.09219.06.0;ACHSE,GEHAERTET;0;;;;0;;;;0;
6;1;T;TI=00;;1;ST;;;0;05.07.1999;31.12.9999;;1;
6;300;L;2.09219.00.0;ACHSE,VORGEFERTIGT;1;ST;;;1;05.07.1999;31.12.9999;;1;
6;;;2.09219.00.0;ACHSE,VORGEFERTIGT;0;;;;0;;;;0;
7;1;T;TI=01;;1;ST;;;0;15.09.2003;31.12.9999;;1;
7;300;L;3.00689.03.0;STABSTAHL;3;G;;;1;29.10.2008;31.12.9999;;0;
7;;;3.00689.03.0;STABSTAHL;0;;;;0;;;;0;
8;1;T;TI=00;;1;ST;;;0;27.06.2001;31.12.9999;;1;
8;205;D;D-800058000 PZD 000 05;TECHN.LIEFERBEDINGUNG;1;ST;;;0;20.12.2018;31.12.9999;;0;
